"C0000100","C0000200","C0005300","C0005400","C0005700","C0579900","C0580000","C0580100","C0799400","C0799500","C0799600","C0998600","C0998700","C0998800","C1198600","C1198700","C1198800","C1507600","C1507700","C1507800","C1564500","C1564600","C1564700","C1799900","C1800000","C1800100","C2503500","C2503600","C2503700","C2532000","C2532100","C2532200","C2802800","C2802900","C2803000","C3111300","C3111400","C3111500","C3615000","C3615100","C3615200","C3993600","C3993700","C3993800"
716303,7163,2,1,1988,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,12,44,98,30,63,105,37,29,92,47,43,97,62,67,107,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
716304,7163,2,1,1991,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,10,43,97,34,83,114,47,78,112,66,97,128,66,87,117,-7,-7,-7,-7,-7,-7,-7,-7,-7
716601,7166,2,2,1992,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,23,85,116,48,96,126,65,98,131,74,99,135,75,97,128,-7,-7,-7,-7,-7,-7
716602,7166,2,2,1994,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,20,69,107,44,84,115,55,86,116,69,95,125,64,70,108,-7,-7,-7
716701,7167,3,2,1974,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
716702,7167,3,2,1984,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
716901,7169,3,2,1974,40,12,82,28,1,65,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
716902,7169,3,1,1976,38,24,89,43,21,88,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
716903,7169,3,2,1976,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
716904,7169,3,2,1980,12,36,95,23,20,87,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
717001,7170,2,2,1977,47,81,113,40,12,82,47,27,91,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
717002,7170,2,2,1982,-7,-7,-7,11,16,85,26,30,92,-7,-7,-7,-7,-7,-7,48,27,91,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
717003,7170,2,1,1989,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,13,21,88,32,33,93,34,6,77,45,26,90,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
717101,7171,2,2,1992,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,11,19,87,15,9,80,43,41,97,41,14,84,46,21,88,-7,-7,-7,-7,-7,-7
717102,7171,2,2,1998,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,10,12,82,18,15,84,15,1,65,42,19,87
717401,7174,2,1,1988,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,14,45,98,-3,-3,-3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
717402,7174,2,1,1994,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
717501,7175,2,1,1987,-7,-7,-7,-7,-7,-7,-7,-7,-7,8,23,89,16,31,93,35,41,97,53,77,111,63,76,111,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
717901,7179,2,1,1979,6,1,65,18,5,75,34,7,78,38,5,75,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
717902,7179,2,1,1982,-7,-7,-7,9,6,77,25,26,90,45,54,102,48,42,97,49,31,93,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
717903,7179,2,2,1985,-7,-7,-7,-7,-7,-7,-7,-7,-7,14,27,91,26,18,86,41,26,90,47,36,95,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
718001,7180,2,2,1979,-3,-3,-3,-7,-7,-7,-7,-7,-7,-3,-3,-3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
718002,7180,2,2,1984,-7,-7,-7,-7,-7,-7,-7,-7,-7,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
718101,7181,2,1,1980,12,44,98,23,26,90,45,59,103,43,23,89,53,39,96,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
718301,7183,2,2,1984,-7,-7,-7,-7,-7,-7,29,96,126,24,29,92,44,52,101,44,29,92,48,29,92,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
718302,7183,2,2,1986,-7,-7,-7,-7,-7,-7,-7,-7,-7,12,23,89,26,30,92,48,71,108,45,34,94,65,73,109,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
718303,7183,2,2,1988,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,14,39,96,24,23,89,39,27,91,51,53,101,49,30,92,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
718401,7184,2,2,1981,-7,-7,-7,17,49,100,33,36,95,40,21,88,49,43,97,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
718402,7184,2,2,1986,-7,-7,-7,-7,-7,-7,-7,-7,-7,13,31,93,27,33,93,33,11,82,48,45,98,47,23,89,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
718403,7184,2,1,1988,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,21,80,113,28,51,100,40,34,94,43,23,89,45,19,87,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
718404,7184,2,2,1992,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,10,21,88,12,3,72,17,1,65,-3,-3,-3,33,2,69,-7,-7,-7,-7,-7,-7
718601,7186,2,1,1986,-7,-7,-7,-7,-7,-7,-7,-7,-7,6,1,65,11,2,69,22,4,74,18,1,65,14,1,65,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
718602,7186,2,1,1994,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,20,69,107,36,51,100,41,30,92,70,96,126,64,70,108,-7,-7,-7
718901,7189,2,1,1983,-7,-7,-7,-7,-7,-7,13,21,88,20,10,81,47,59,103,46,33,93,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
718902,7189,2,2,1989,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,10,26,90,12,11,82,35,30,92,-7,-7,-7,65,80,113,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
718903,7189,2,1,1990,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,9,7,78,25,33,93,-7,-7,-7,34,4,74,44,15,84,-7,-7,-7,-7,-7,-7,-7,-7,-7
719201,7192,2,2,1977,-3,-3,-3,46,47,99,65,83,114,59,48,99,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
719401,7194,2,1,1984,-7,-7,-7,-7,-7,-7,10,17,86,20,19,87,44,52,101,40,12,82,40,6,77,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
719402,7194,2,2,1986,-7,-7,-7,-7,-7,-7,-7,-7,-7,13,47,99,33,64,105,41,44,98,43,24,89,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
719701,7197,2,2,1978,20,25,90,39,23,89,50,52,101,44,15,84,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
719702,7197,2,1,1981,7,6,77,18,23,89,31,17,86,34,6,77,41,8,79,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
719801,7198,2,1,1978,24,23,89,40,21,88,56,62,105,48,24,89,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
719802,7198,2,2,1984,-7,-7,-7,-7,-7,-7,20,60,104,36,44,98,-3,-3,-3,63,82,114,68,81,113,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
719803,7198,2,2,1989,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-3,-3,-3,23,45,98,42,49,100,46,41,97,48,31,93,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
719901,7199,2,2,1977,26,18,86,50,61,104,63,76,111,44,11,82,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
720201,7202,3,1,1990,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
720701,7207,1,1,1975,44,33,93,-3,-3,-3,-3,-3,-3,-3,-3,-3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
720702,7207,1,1,1977,45,71,108,-3,-3,-3,-3,-3,-3,-3,-3,-3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
720703,7207,1,1,1980,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
720704,7207,1,1,1981,-7,-7,-7,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
720901,7209,1,2,1979,18,38,95,42,49,100,43,27,91,54,47,99,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
720902,7209,1,2,1984,-7,-7,-7,-7,-7,-7,7,2,69,28,29,92,42,27,91,42,17,86,65,73,109,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
721101,7211,2,1,1993,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,25,12,82,46,47,99,54,55,102,-7,-7,-7,-7,-7,-7
721102,7211,2,1,1994,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,43,88,118,49,78,112,63,89,118,69,88,118,-7,-7,-7
721401,7214,1,2,1982,-7,-7,-7,17,49,100,-3,-3,-3,66,98,131,50,47,99,47,23,89,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
721402,7214,1,2,2001,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,21,93,122,29,66,106,54,93,122
721501,7215,2,1,1985,-7,-7,-7,-7,-7,-7,-7,-7,-7,-3,-3,-3,13,2,69,17,1,65,37,6,77,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
721502,7215,2,2,1993,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,15,3,72,36,10,81,45,27,91,-7,-7,-7,-7,-7,-7
721601,7216,2,1,1978,27,40,96,35,14,84,50,49,100,46,21,88,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
721701,7217,2,2,1977,44,76,111,42,24,89,44,21,88,44,11,82,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
721702,7217,2,1,1978,21,27,91,31,12,82,43,23,89,51,37,95,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
721703,7217,2,2,1981,15,79,112,17,27,91,23,7,78,29,3,72,39,5,75,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
721704,7217,2,2,1982,-7,-7,-7,20,77,111,31,52,101,41,35,94,47,41,97,44,15,84,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
721705,7217,2,1,1984,-7,-7,-7,-7,-7,-7,7,4,74,21,27,91,36,23,89,38,9,80,41,9,80,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
721706,7217,2,1,1992,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,6,3,72,-7,-7,-7,32,15,84,39,10,81,52,40,96,-7,-7,-7,-7,-7,-7
722001,7220,2,1,1980,10,12,82,24,23,89,-3,-3,-3,-7,-7,-7,-3,-3,-3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
722002,7220,2,1,1981,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
722003,7220,2,1,1983,-7,-7,-7,-7,-7,-7,-3,-3,-3,-7,-7,-7,-3,-3,-3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
722004,7220,2,1,1985,-7,-7,-7,-7,-7,-7,-3,-3,-3,-7,-7,-7,-3,-3,-3,-7,-7,-7,47,30,92,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
722401,7224,2,2,1992,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,12,23,89,-7,-7,-7,47,59,103,51,53,101,51,36,95,-7,-7,-7,-7,-7,-7
722601,7226,2,2,1984,-7,-7,-7,-7,-7,-7,14,39,96,37,67,107,41,35,94,-3,-3,-3,45,19,87,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
722602,7226,2,2,1987,-7,-7,-7,-7,-7,-7,-7,-7,-7,15,73,109,29,60,104,-3,-3,-3,41,17,86,42,11,82,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
722801,7228,2,2,1986,-7,-7,-7,-7,-7,-7,-7,-7,-7,-3,-3,-3,-3,-3,-3,45,71,108,42,20,87,46,24,89,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
722802,7228,2,2,1991,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,11,10,81,29,32,93,42,32,93,50,47,99,-7,-7,-7,-7,-7,-7,-7,-7,-7
722803,7228,2,1,1995,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,7,12,82,19,49,100,44,70,108,57,87,117,58,65,106,-7,-7,-7
723101,7231,2,2,1993,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,25,68,107,42,67,107,50,67,107,64,82,114,-7,-7,-7,-7,-7,-7
723201,7232,2,1,1980,17,65,106,34,60,104,45,54,102,46,35,94,-3,-3,-3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
723202,7232,2,1,2006,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
723501,7235,1,2,1986,-7,-7,-7,-7,-7,-7,-7,-7,-7,15,46,98,34,46,98,48,71,108,48,42,97,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
723502,7235,1,2,1987,-7,-7,-7,-7,-7,-7,-7,-7,-7,14,72,109,43,90,119,43,65,106,49,57,103,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
723503,7235,1,2,1997,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,12,15,84,40,64,105,46,55,102,48,42,97
723601,7236,1,1,1994,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,11,26,90,12,3,72,44,56,102,56,72,109,74,95,125,-7,-7,-7
723602,7236,1,1,1995,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,13,21,88,31,38,95,43,37,95,54,55,102,-7,-7,-7
724101,7241,1,2,1991,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,25,60,104,43,72,109,-7,-7,-7,58,58,103,-7,-7,-7,-7,-7,-7,-7,-7,-7
724102,7241,1,1,1994,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,20,84,115,-7,-7,-7,48,67,107,55,67,107,78,99,135,-7,-7,-7
724401,7244,1,2,1982,-7,-7,-7,-3,-3,-3,-3,-3,-3,48,71,108,57,69,107,68,84,115,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
724402,7244,1,2,1983,-7,-7,-7,-7,-7,-7,21,62,105,39,61,104,49,63,105,49,43,97,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
724403,7244,1,1,1985,-7,-7,-7,-7,-7,-7,11,39,96,27,74,110,37,41,97,48,59,103,59,67,107,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
724501,7245,1,2,1989,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-3,-3,-3,8,2,69,33,43,97,-7,-7,-7,48,38,95,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
724601,7246,1,2,1983,-7,-7,-7,-7,-7,-7,-3,-3,-3,-3,-3,-3,-3,-3,-3,62,72,109,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
724602,7246,1,2,1986,-7,-7,-7,-7,-7,-7,-7,-7,-7,-3,-3,-3,-3,-3,-3,44,52,101,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
724603,7246,1,1,1993,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,49,35,94,-7,-7,-7,-7,-7,-7
724701,7247,1,2,1985,-7,-7,-7,-7,-7,-7,-7,-7,-7,-3,-3,-3,-3,-3,-3,-7,-7,-7,50,40,96,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
724901,7249,1,2,1977,-7,-7,-7,46,47,99,48,37,95,56,43,97,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
724902,7249,1,1,1988,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,20,52,101,42,73,109,43,37,95,49,43,97,-3,-3,-3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
724903,7249,1,2,1998,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,16,59,103,20,25,90,45,63,105,49,51,100
724904,7249,1,2,1998,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,14,45,98,29,54,102,41,39,96,52,61,104
725201,7252,2,2,1974,59,73,109,-3,-3,-3,70,75,110,50,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
725202,7252,2,1,1981,7,6,77,28,63,105,45,67,107,43,27,91,57,54,102,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
725301,7253,2,2,1981,10,26,90,16,18,86,-7,-7,-7,39,10,81,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
725302,7253,2,1,1982,-7,-7,-7,11,26,90,30,50,100,43,47,99,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
725303,7253,2,1,1986,-7,-7,-7,-7,-7,-7,-7,-7,-7,12,19,87,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
725501,7255,2,1,1980,12,44,98,34,60,104,50,78,112,-7,-7,-7,-3,-3,-3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
725601,7256,2,1,1981,-3,-3,-3,22,41,97,-7,-7,-7,40,16,85,62,69,107,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
725602,7256,2,2,1983,-7,-7,-7,6,4,74,-7,-7,-7,26,18,86,53,74,110,52,50,100,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
725603,7256,2,1,1985,-7,-7,-7,-7,-7,-7,-7,-7,-7,21,62,105,39,54,102,39,18,86,48,40,96,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
725604,7256,2,1,1988,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,12,19,87,15,7,78,38,20,87,-7,-7,-7,40,3,72,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
725801,7258,2,2,1980,15,63,105,27,40,96,41,35,94,58,77,111,55,43,97,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
725802,7258,2,1,1982,-7,-7,-7,11,16,85,42,77,111,50,78,112,55,67,107,-3,-3,-3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
725901,7259,2,1,1985,-7,-7,-7,-7,-7,-7,7,6,77,24,56,102,44,70,108,50,64,105,59,67,107,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
725902,7259,2,1,1987,-7,-7,-7,-7,-7,-7,-7,-7,-7,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
725903,7259,2,1,1988,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,10,21,88,12,4,74,20,4,74,29,3,72,26,1,65,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7
725904,7259,2,1,1994,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,9,5,75,25,26,90,28,6,77,35,4,74,45,19,87,-7,-7,-7
725905,7259,2,2,1996,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,19,57,103,33,50,100,44,39,96,46,35,94,46,19,87
