"","Subject2Tag","Subject1Tag","R","CRace1","CGender1","HtSt1","AgeHt1","CRace2","CGender2","HtSt2","AgeHt2"
"262",29802,29801,0.5,1,1,NA,11,1,2,NA,4
"263",30502,30501,NA,1,1,NA,NA,1,2,NA,NA
"264",31202,31201,0.5,3,1,0.8690126119,19,3,1,-0.437920669,19
"265",31402,31401,0.5,3,1,0.8690126119,19,3,2,0.1625218443,19
"266",31403,31401,0.5,3,1,0.8690126119,19,3,1,NA,13
"267",31403,31402,0.5,3,2,0.1625218443,19,3,1,NA,13
"268",31404,31401,0.5,3,1,0.8690126119,19,3,2,-0.173544831,19
"269",31404,31403,0.5,3,1,NA,13,3,2,-0.173544831,19
"270",31404,31402,0.5,3,2,0.1625218443,19,3,2,-0.173544831,19
"271",31405,31402,0.5,3,2,0.1625218443,19,3,2,0.1625218443,19
"272",31405,31401,0.5,3,1,0.8690126119,19,3,2,0.1625218443,19
"273",31405,31403,0.5,3,1,NA,13,3,2,0.1625218443,19
"274",31405,31404,0.5,3,2,-0.173544831,19,3,2,0.1625218443,19
"275",32102,32101,0.5,3,1,NA,16,3,1,NA,14
"276",32103,32101,0.5,3,1,NA,16,3,1,NA,12
"277",32103,32102,0.5,3,1,NA,14,3,1,NA,12
"278",32202,32201,0.5,3,1,-0.437920669,19,3,2,NA,11
"279",32203,32201,0.5,3,1,-0.437920669,19,3,2,NA,9
"280",32203,32202,0.5,3,2,NA,11,3,2,NA,9
"281",33302,33301,0.25,2,2,0.8346551956,19,2,1,2.175945893,19
"282",33802,33801,0.5,2,2,-0.509611507,19,2,2,NA,15
"283",34002,34001,0.5,2,1,-0.111187349,19,2,2,0.1625218443,19
"284",34003,34001,0.5,2,1,-0.111187349,19,2,2,0.8346551956,19
"285",34003,34002,0.5,2,2,0.1625218443,19,2,2,0.8346551956,19
"286",34402,34401,0.5,3,1,NA,18,3,2,NA,16
"287",34702,34701,0.5,3,1,NA,15,3,2,NA,12
"288",35402,35401,0.5,3,1,-1.09138731,19,3,2,NA,NA
"289",36502,36501,0.5,3,1,NA,NA,3,2,NA,NA
"290",36503,36501,0.5,3,1,NA,NA,3,2,NA,NA
"291",36503,36502,0.5,3,2,NA,NA,3,2,NA,NA
"292",36504,36501,0.5,3,1,NA,NA,3,2,NA,NA
"293",36504,36503,0.5,3,2,NA,NA,3,2,NA,NA
"294",36504,36502,0.5,3,2,NA,NA,3,2,NA,NA
"295",36505,36502,0.5,3,2,NA,NA,3,2,NA,NA
"296",36505,36501,0.5,3,1,NA,NA,3,2,NA,NA
"297",36505,36503,0.5,3,2,NA,NA,3,2,NA,NA
"298",36505,36504,1,3,2,NA,NA,3,2,NA,NA
"299",36902,36901,0.5,3,2,NA,16,3,1,NA,NA
"300",37102,37101,0.5,3,2,NA,9,3,1,NA,7
"301",37103,37101,0.5,3,2,NA,9,3,2,NA,6
"302",37103,37102,0.5,3,1,NA,7,3,2,NA,6
"303",37302,37301,0.5,3,1,-0.764653989,19,3,2,-0.845678183,19
"304",37402,37401,0.5,3,2,0.8346551956,19,3,2,-0.173544831,19
"305",37403,37401,0.5,3,2,0.8346551956,19,3,1,1.8492125727,19
"306",37403,37402,0.5,3,2,-0.173544831,19,3,1,1.8492125727,19
"307",37902,37901,0.5,2,2,-0.845678183,19,2,1,0.2155459714,19
"308",37903,37901,0.5,2,2,-0.845678183,19,2,2,1.1707218712,19
"309",37903,37902,0.5,2,1,0.2155459714,19,2,2,1.1707218712,19
"310",38202,38201,0.25,2,2,-1.517811534,19,2,2,-0.509611507,19
"311",38502,38501,0.5,2,1,NA,18,2,2,-0.173544831,19
"312",38503,38501,0.5,2,1,NA,18,2,1,NA,NA
"313",38503,38502,0.5,2,2,-0.173544831,19,2,1,NA,NA
"314",38802,38801,0.5,2,2,-0.845678183,19,2,1,NA,18
"315",38803,38801,0.5,2,2,-0.845678183,19,2,1,NA,NA
"316",38803,38802,0.5,2,1,NA,18,2,1,NA,NA
"317",38902,38901,0.5,3,2,-0.173544831,19,3,2,NA,9
"318",39002,39001,0.25,2,1,0.2155459714,19,2,2,NA,18
"319",39003,39001,0.25,2,1,0.2155459714,19,2,2,NA,16
"320",39003,39002,0.375,2,2,NA,18,2,2,NA,16
"321",39004,39001,0.25,2,1,0.2155459714,19,2,2,NA,5
"322",39004,39002,0.25,2,2,NA,18,2,2,NA,5
"323",39004,39003,0.375,2,2,NA,16,2,2,NA,5
"324",39102,39101,0.5,2,2,0.8346551956,19,2,2,-0.173544831,19
"325",39103,39101,0.25,2,2,0.8346551956,19,2,2,NA,15
"326",39103,39102,0.25,2,2,-0.173544831,19,2,2,NA,15
"327",39502,39501,0.5,2,2,-1.517811534,19,2,2,-0.509611507,19
"328",39702,39701,0.25,2,2,-0.173544831,19,2,1,-1.09138731,19
"329",39703,39701,0.25,2,2,-0.173544831,19,2,1,NA,16
"330",39703,39702,0.25,2,1,-1.09138731,19,2,1,NA,16
"331",39704,39701,0.25,2,2,-0.173544831,19,2,1,NA,NA
"332",39704,39702,0.25,2,1,-1.09138731,19,2,1,NA,NA
"333",39704,39703,0.25,2,1,NA,16,2,1,NA,NA
"334",40102,40101,0.5,3,1,NA,19,3,2,-0.845678183,19
"335",40202,40201,0.5,3,1,-1.09138731,19,3,2,-0.509611507,19
"336",40203,40201,0.5,3,1,-1.09138731,19,3,1,NA,14
"337",40203,40202,0.5,3,2,-0.509611507,19,3,1,NA,14
"338",40502,40501,0.5,3,1,NA,16,3,1,NA,14
"339",40503,40501,0.5,3,1,NA,16,3,2,NA,NA
"340",40503,40502,0.5,3,1,NA,14,3,2,NA,NA
"341",40702,40701,0.5,3,2,NA,NA,3,1,NA,NA
"342",41402,41401,0.5,3,2,0.8346551956,19,3,2,NA,18
"343",41602,41601,0.5,3,1,-0.437920669,19,3,2,1.1707218712,19
"344",41603,41601,0.5,3,1,-0.437920669,19,3,1,1.1957459322,19
"345",41603,41602,0.5,3,2,1.1707218712,19,3,1,1.1957459322,19
"346",41604,41601,0.5,3,1,-0.437920669,19,3,2,NA,16
"347",41604,41602,0.5,3,2,1.1707218712,19,3,2,NA,16
"348",41604,41603,0.5,3,1,1.1957459322,19,3,2,NA,16
"349",42302,42301,0.5,3,1,NA,12,3,2,NA,9
"350",42502,42501,0.25,3,2,-0.509611507,19,3,1,-0.437920669,19
"351",42503,42501,0.25,3,2,-0.509611507,19,3,1,-1.74485395,19
"352",42503,42502,0.5,3,1,-0.437920669,19,3,1,-1.74485395,19
"353",42504,42501,0.25,3,2,-0.509611507,19,3,1,NA,16
"354",42504,42503,0.25,3,1,-1.74485395,19,3,1,NA,16
"355",42504,42502,0.25,3,1,-0.437920669,19,3,1,NA,16
"356",42505,42502,0.25,3,1,-0.437920669,19,3,2,NA,NA
"357",42505,42501,0.25,3,2,-0.509611507,19,3,2,NA,NA
"358",42505,42503,0.25,3,1,-1.74485395,19,3,2,NA,NA
"359",42505,42504,0.25,3,1,NA,16,3,2,NA,NA
"360",42802,42801,0.5,3,2,NA,15,3,1,0.2155459714,19
"361",43102,43101,0.5,3,1,-0.111187349,19,3,1,NA,18
"362",43103,43101,0.5,3,1,-0.111187349,19,3,2,NA,18
"363",43103,43102,0.5,3,1,NA,18,3,2,NA,18
"364",43702,43701,0.5,3,1,0.2155459714,19,3,1,0.5422792916,19
"365",43703,43701,0.5,3,1,0.2155459714,19,3,1,-0.111187349,19
"366",43703,43702,0.5,3,1,0.5422792916,19,3,1,-0.111187349,19
"367",43902,43901,0.5,3,2,NA,NA,3,1,NA,NA
"368",44202,44201,0.5,3,2,0.8346551956,19,3,1,0.2155459714,19
"369",44203,44201,0.5,3,2,0.8346551956,19,3,1,0.8690126119,19
"370",44203,44202,0.5,3,1,0.2155459714,19,3,1,0.8690126119,19
"371",44402,44401,0.5,3,2,NA,18,3,2,NA,14
"372",44602,44601,0.5,3,2,-0.845678183,19,3,1,-0.111187349,19
"373",44902,44901,0.5,3,2,NA,NA,3,2,NA,NA
"374",45202,45201,0.5,3,1,NA,NA,3,1,NA,NA
"375",45502,45501,0.5,3,2,NA,18,3,2,NA,16
"376",45902,45901,0.5,3,1,NA,17,3,1,NA,15
"377",45903,45901,0.5,3,1,NA,17,3,1,NA,NA
"378",45903,45902,0.5,3,1,NA,15,3,1,NA,NA
"379",46702,46701,0.5,3,2,-0.173544831,19,3,1,NA,18
"380",47102,47101,0.5,3,1,1.1957459322,19,3,2,2.5149885737,19
"381",47402,47401,0.5,3,1,NA,18,3,1,NA,16
"382",47403,47401,0.25,3,1,NA,18,3,2,NA,NA
"383",47403,47402,0.5,3,1,NA,16,3,2,NA,NA
"384",47602,47601,0.5,3,2,NA,17,3,1,NA,13
"385",47802,47801,0.5,3,1,-0.764653989,19,3,2,1.1707218712,19
"386",48502,48501,0.5,3,1,NA,12,3,1,NA,18
"387",48503,48501,0.375,3,1,NA,12,3,1,NA,16
"388",48503,48502,0.5,3,1,NA,18,3,1,NA,16
"389",49102,49101,NA,3,1,NA,NA,3,2,NA,NA
"390",49202,49201,0.5,3,1,NA,18,3,1,NA,16
"391",49203,49201,0.5,3,1,NA,18,3,2,NA,NA
"392",49203,49202,0.5,3,1,NA,16,3,2,NA,NA
"393",49402,49401,0.5,3,2,NA,13,3,1,NA,10
"394",49502,49501,0.5,3,1,0.5422792916,19,3,2,1.8428552225,19
"395",50102,50101,0.5,3,1,NA,NA,3,1,NA,NA
"396",50302,50301,0.5,3,2,-0.509611507,19,3,2,0.1625218443,19
