"SubjectTag","SurveyYear","Age","Gender","Value","DV","ZGenderAge"
644600,1981,20,1,0.61029,0.280074953791253,0.580035924463993
644700,1981,18,1,0.62836,0.327512883747409,0.579183809390502
644800,1981,23,2,0.08454,-1.37516595645695,-1.12236350187915
644900,1981,19,2,0.05308,-1.61569626002302,-1.34119219103607
645000,1981,18,2,0.25641,-0.654452996948685,-0.338956449058453
645100,1981,16,1,0.09929,-1.28560772318719,-0.906572132373876
645200,1981,22,1,0.03924,-1.75957437197565,-1.60741101095097
645300,1981,19,1,0.14393,-1.06282791011912,-0.669915534136269
645400,1981,17,1,0.15226,-1.02678863935615,-0.689919415535025
645500,1981,19,2,0.27272,-0.604607232387768,-0.323966596822791
645600,1981,21,1,0.54934,0.123994032469985,0.288834664212509
645700,1981,22,2,0.13284,-1.11306619729778,-0.918864057559026
645800,1981,19,1,0.84178,1.00180040830369,1.25463959544404
645900,1981,17,2,0.80595,0.863068146815076,1.20903236395038
646000,1981,17,1,0.29384,-0.542201067495686,-0.231269801251079
646100,1981,17,2,0.15403,-1.01930118835917,-0.75953777315519
646200,1981,17,1,0.29519,-0.538285442471349,-0.227563763351267
646300,1981,19,1,0.18562,-0.894153065938072,-0.512684310625893
646400,1981,17,2,0.0289,-1.89721172489553,-1.67765114919774
646500,1981,20,1,0.01237,-2.24543844034741,-1.82633613379854
646600,NA,NA,NA,NA,NA,NA
646700,1981,19,1,0.10093,-1.2762702582436,-0.868877043230765
646800,1981,17,1,0.31729,-0.475290400949074,-0.167940584438392
646900,1981,20,1,0.12044,-1.17279007296156,-0.804290055718416
647000,1981,19,2,0.1749,-0.934977296227476,-0.656341763909322
647100,NA,NA,NA,NA,NA,NA
647200,1981,18,2,0.18228,-0.906710328698588,-0.606810663334459
647300,1981,23,1,0.38179,-0.30078296394686,-0.159218761457282
647400,1981,18,2,0.00751,-2.43189646704244,-2.22629792214593
647500,1981,22,2,0.3491,-0.387751419123081,-0.170213821816003
647600,1981,20,1,0.19649,-0.854225602478403,-0.500753894593716
647700,1981,20,1,0.01118,-2.28419624771865,-1.86326553790074
647800,1981,19,1,0.01792,-2.09873803319527,-1.63554509726915
647900,1981,17,1,0.32012,-0.467363265241971,-0.160437755340897
648000,1981,16,1,0.0069,-2.4624276813832,-2.06728168550776
648100,1981,20,2,0.14293,-1.06724769570399,-0.774792946910761
648200,1981,20,2,0.10054,-1.27848065913074,-0.993007520929603
648300,1981,19,2,0.19337,-0.865544504559831,-0.586487566275317
648400,1981,17,1,0.2322,-0.731620880413313,-0.41055075928073
648500,1981,21,2,0.28475,-0.568788028347656,-0.33952402110885
648600,1981,19,2,0.17908,-0.918876830623063,-0.640143580323191
648700,1981,23,2,0.24353,-0.694992502783234,-0.460258331958024
648800,1981,22,1,0.05093,-1.63590247467129,-1.48482679648838
648900,1981,17,2,0.18482,-0.897147903372622,-0.631790627852479
649000,1981,22,1,0.09723,-1.29749768829888,-1.14939824875815
649100,1981,20,1,0.37764,-0.311684906254395,0.016192392404305
649200,1981,22,1,0.1083,-1.23561958835226,-1.08806436094914
649300,1981,17,1,0.02588,-1.94512446543249,-1.55910054371782
649400,1981,21,1,0.06911,-1.48245225005504,-1.28112262260744
649500,1981,21,1,0.0303,-1.87640273001724,-1.66612486849065
649600,1981,19,1,0.04802,-1.66436254665891,-1.23063949594711
649700,1981,23,1,0.4395,-0.152237015567176,-0.0180583372354727
649800,1981,21,1,0.25729,-0.651722817751144,-0.469262469044549
649900,1981,20,1,0.1545,-1.01732257655883,-0.656156753325399
650000,1981,19,1,0.07895,-1.41216969954904,-0.995556486953251
650100,1981,22,1,0.23671,-0.716925608099047,-0.573932246040829
650200,1981,17,2,0.14639,-1.05204261141425,-0.793778549642662
650300,1981,19,2,0.28586,-0.56552018336727,-0.284642318169593
650400,1981,18,1,0.4397,-0.151729866289582,0.137190689065105
650500,1981,16,2,0.14353,-1.06459332888837,-0.906091956027603
650600,1981,18,1,0.42774,-0.182130899460635,0.109152607088168
650700,1981,17,1,0.00556,-2.53890504361495,-2.12109851677169
650800,1981,22,1,0.07317,-1.4525814483151,-1.30311806151972
650900,1981,20,1,0.24669,-0.684942826185401,-0.339457049460366
651000,1981,22,2,0.17955,-0.91708137505755,-0.716573841245715
651100,1981,19,1,0.34268,-0.405159871075415,-0.0568664992041735
651200,1981,24,2,0.6626,0.419569463431832,0.620899696212685
651300,1981,22,2,0.29595,-0.536084719924563,-0.323319430518799
651400,1981,18,1,0.17465,-0.935947925508168,-0.586073224646257
651500,1981,16,2,0.55259,0.13220771373805,0.323594619815758
651600,1981,21,2,0.05177,-1.6279287238337,-1.42126588576717
651700,1981,19,1,0.28134,-0.57886539728811,-0.21878710182599
651800,1981,22,1,0.77548,0.757016462045036,0.887046640595899
651900,1981,18,2,0.19398,-0.863322821503202,-0.560740538955531
652000,1981,17,2,0.52422,0.0607478791704213,0.369970820731175
652100,1981,22,2,0.42027,-0.201202802789812,0.0223365987709036
652200,1981,18,2,0.58259,0.208523801714788,0.577377560902452
652300,1981,22,2,0.04252,-1.72216297399831,-1.54755722525475
652400,1981,20,2,0.77929,0.769797538642099,1.12296977327755
652500,1981,20,2,0.4288,-0.179430098098686,0.14236854022172
652600,1981,18,2,0.43781,-0.156524003961991,0.189759121888455
652700,1981,16,1,0.14532,-1.05671867363329,-0.68081652330671
652800,1981,20,1,0.09018,-1.33964741794563,-0.963275889496776
652900,1981,18,2,0.15597,-1.0111597012932,-0.717718062670975
653000,1981,18,1,0.27966,-0.583851835815666,-0.261344161294651
653100,1981,20,1,0.2076,-0.814776945136049,-0.463166231433851
653200,1981,19,2,0.08512,-1.37143305199218,-1.09544648502763
653300,1981,19,2,0.17331,-0.941165604591085,-0.662567630752196
653400,1981,17,2,0.13395,-1.10791158924873,-0.85220597900013
653500,1981,22,1,0.22628,-0.751153967428327,-0.607859570131256
653600,1981,23,2,0.10922,-1.23068687189967,-0.981722392888239
653700,1981,19,1,0.01773,-2.10306600622623,-1.6395794421549
653800,1981,23,2,0.0861,-1.36516880670368,-1.1126319187067
653900,1981,22,2,0.75933,0.704148980289097,0.956816146448259
654000,1981,22,2,0.80559,0.861759274408657,1.11949721596276
654100,1981,22,2,0.61848,0.301491146762299,0.541203655065923
654200,1981,22,1,0.78879,0.802229871550836,0.931862402367579
654300,1981,20,2,0.99344,2.48049528218665,2.89020900207352
654400,1981,22,1,0.94877,1.6330427780507,1.75536838657695
654500,1981,19,2,0.93773,1.53599339618994,1.82962590281196
654600,1981,22,1,0.69836,0.519689509199442,0.651806956241581
654700,1981,22,1,0.63289,0.339517388583201,0.473219432679571
654800,NA,NA,NA,NA,NA,NA
654900,NA,NA,NA,NA,NA,NA
655000,1981,22,1,0.79705,0.831130343052581,0.960508696908699
655100,NA,NA,NA,NA,NA,NA
655200,1981,20,2,0.17237,-0.944841110766991,-0.648340615059665
655300,1981,18,1,0.13596,-1.09865174067949,-0.736130720457864
