"SubjectTag","Score","Age"
93002,NA,NA
93003,NA,NA
93004,NA,NA
93201,110.5,12
93202,94,10
93203,95,9
93501,105,9
93502,107.5,9
93503,100,9
93601,111,10
93602,104,9
93603,125,9
93901,91,9
93902,94,7
93903,106,5
93904,NA,NA
94001,114.5,9
94002,115,9.5
94201,117.5,8
94202,105,9.5
94901,102,9
94902,81,9
95001,94,9
95201,99,10
95301,106,7
95302,NA,NA
95401,128,7
95402,129,6
96201,104,9
96202,97,9
96203,94,9
96401,93,5
96601,106,7
96602,92.5,5.5
96701,123,9
96702,130.5,9.5
97101,94,10
97102,100,9
97401,100,9
97402,107,8
97501,NA,NA
97502,NA,NA
97801,102,6.5
97802,98,5
97901,93,9
97902,95,10
98101,111,9
98102,116.5,9.5
98601,96,5
98801,78,13
99201,117,11
99202,111,8
99203,111.5,10
99501,NA,NA
99502,98,10
99801,111,10
99802,107.5,8
99803,118,7
99804,NA,NA
99805,NA,NA
99901,102.5,10
99902,113,8.5
100501,98,6
100502,82,7
100503,84,10
100504,102.5,9
100505,90,8
100801,NA,NA
100901,111,14
101501,121,10
101502,106,9
101503,121,9.5
101504,110.5,8
101601,NA,NA
101701,101,9
101702,100,10
101801,93,13
101802,118,10
101901,118.5,7.5
101902,69,5
101903,NA,NA
102401,109,9
102501,102,14
102502,92.5,12
102503,87,10
102504,96,10
102505,97.5,9
103001,110,11
103002,98,9
103003,97,9
103004,82,8
103301,74,9
103302,80.5,9
103303,NA,NA
103304,NA,NA
103401,100.5,13.5
103402,94.5,12
103403,97.5,10
103501,99,9
103502,NA,NA
103601,108.5,8
103801,91,9
103802,122,10
103901,105,9
104001,89,8
104801,126,11
104802,113,9
104901,117.5,10
104902,118,7
104903,128,7
105001,123,5
105601,96,10
105602,103,10
105603,75,9.5
105701,101.5,13.5
105702,80.5,12
105703,94,12
105704,93,10
106301,89.5,11
106302,99.5,9
106501,99.5,10
106502,105,10
106503,99,9
106901,85,11
106902,103,9
107001,89,10
107002,80.5,10
107003,95,8.5
107101,92.5,10
107102,96,10
107103,96,9
107401,NA,NA
107601,104,9
107701,96,11.5
107702,89,12
107703,112,7
107901,98,10
108001,116,9
108002,119,10.5
108003,124,9
108201,128,9
108202,128,10
108301,117,7
108302,NA,NA
108601,NA,NA
108701,111,8
108702,116,6
108703,131,5
108704,NA,NA
108705,NA,NA
108801,129,7
108802,135,6
108803,135,5
108804,NA,NA
108805,NA,NA
108806,NA,NA
109001,97,9
109002,96,9
109003,81,6
109301,118,9
109302,95,8.5
109303,108,7
110101,118,5
110102,NA,NA
110301,114.5,8
110401,113,9
110801,102,7
110802,112,5
111001,NA,NA
111101,99,12
111102,99.5,8
111201,91.5,10
111202,82,9
111601,109,10
111602,117,8
111701,NA,NA
111702,122,11
111703,105.5,6
111801,104,8
112101,NA,NA
112102,NA,NA
112301,69.5,11
112302,122.5,11
112303,125,10
112304,115,9
112305,106,9
112601,NA,NA
112602,NA,NA
112603,NA,NA
112801,90,5
113001,120,9
113002,104,9
113101,97,9
113201,110,9
113202,99,8
113301,NA,NA
113302,NA,NA
113303,NA,NA
113501,NA,NA
113502,NA,NA
113601,NA,NA
113602,NA,NA
114101,102,9
114102,109.5,9
114701,107,9
114702,113,8
115201,82,12
115202,90.5,10
115203,95,8
115501,NA,NA
115701,108,10
115702,120.5,9
115801,100,9
115802,109,9
115901,106,9
115902,NA,NA
116001,110.5,8.5
116002,103,10
116003,NA,NA
116004,125,8
116005,98,7
116006,115,6
116101,106,11.5
116102,101.5,8
116201,NA,NA
116301,105,10
116302,102,9
116401,67,11
116402,97,9
116501,87.5,10
116502,99.5,9
116503,91,9
116601,88,10
116602,93.5,9
116701,NA,NA
116702,NA,NA
116801,116,11
117001,NA,NA
117002,NA,NA
117003,125,12.5
117004,105,11
117201,102,9
117202,90.5,10
117203,97,9
117701,128,9
117702,114,10
117901,105,9
117902,110,9
118101,102.5,9
118102,117,9
118103,109,5
118401,128,9.5
118402,120.5,9
118403,130,6
118701,128.5,9
118702,114,9
118703,101,9
118901,109,10
118902,105,8
119101,78,9
119501,NA,NA
119502,NA,NA
119901,95.5,12
119902,65,8.5
120001,109,7
120002,101,5
120201,92,10
120202,104,7.5
120301,94,7
120302,96,6
120701,92,11
120702,99,9
120901,95,12
120902,97.5,8
120903,109,8
121001,88,13
121002,75,11
121003,65,8
121004,91,9
121005,77.5,9
121006,80,9
121201,91.5,12.5
121202,90.5,9
121301,85.5,9
121302,76.5,9
121401,81,9
121402,105,6
121403,NA,NA
121404,NA,NA
121601,101.5,12
121602,NA,NA
121603,101.5,9
121604,96,10
122001,91,9
122002,95,10
122003,91,9
122101,86,13
122102,92.5,10
122103,85,9
122301,91,9
122302,88,8
122401,97.5,12.5
122402,118,10
122403,99.5,9
122501,117.5,13.5
122502,85,10
122601,97,12
122602,104,10
122701,84,13
122702,98,12
122703,78,6
122704,95,9
122801,106.5,9
122802,104,11
122803,105,10
123001,116,9
123002,96.5,10
123101,114,8
123102,110,7
123301,100,10
123302,88,9
123401,114,10
123402,120,5.5
123601,99.5,12
123602,113.5,10
123603,104.5,6
123801,99.5,11
123802,95,10
123803,102.5,9
123804,106,10
123805,88,9
124101,96.5,10
124102,NA,NA
124103,NA,NA
124104,95,7.5
124201,95,9
124401,92,9
124402,88,9
124403,93,9
124601,92,9
124602,104.5,9
125001,99,9
125002,98,9
125003,108.5,9.5
125101,100.5,9.5
125301,119,8
125401,108,8
125402,115.5,6.5
125403,NA,NA
125404,NA,NA
125501,118.5,9
125801,119,10
125802,113,9
125803,117,9
125804,135,10
125901,122,10
126101,110,9
126301,88.5,10
126901,86,10
126902,127.5,7
126903,NA,NA
127001,NA,NA
127002,NA,NA
