"SubjectTag","SubjectID","Generation","HeightZGender","HeightZGenderAge","MathStandardized"
331502,331502,2,-0.903787749504662,-0.935339426475638,90
331503,331503,2,-0.203364450388273,-0.205724056306393,94
331504,331504,2,-0.903787749504662,-0.935339426475638,97
331505,331505,2,-0.903787749504662,-0.836676544239161,99
331506,331506,2,-1.02817461968588,-1.16259317081087,101
331601,331601,2,NA,NA,86
331602,331602,2,-0.203364450388273,-0.205724056306393,72
331603,331603,2,NA,NA,NA
331604,331604,2,-1.02817461968588,-1.0760143803701,106
331605,331605,2,NA,NA,NA
331701,331701,2,NA,NA,NA
331702,331702,2,0.264064834036578,0.170937007966158,100
331703,331703,2,-1.02817461968588,-1.16259317081087,100
331704,331704,2,-0.705114756255265,-0.829210626116616,96
331705,331705,2,NA,NA,75
332001,332001,2,NA,NA,NA
332002,332002,2,NA,NA,NA
332003,332003,2,NA,NA,NA
332101,332101,2,0.497058848728117,0.523891313862852,NA
332102,332102,2,-0.705114756255265,-0.719525208115589,NA
332201,332201,2,0.847270498286312,0.839360371600536,97
332501,332501,2,-1.60421104862105,-1.57803304148124,99
333801,333801,2,-0.0589950293940365,0.129258968915284,NA
333901,333901,2,NA,NA,NA
333902,333902,2,NA,NA,NA
333903,333903,2,NA,NA,NA
334101,334101,2,NA,NA,118
334201,334201,2,-0.203364450388273,-0.222753168768175,88
334501,334501,2,NA,NA,NA
334701,334701,2,-0.0589950293940365,-0.1624455367281,111
334702,334702,2,0.497058848728117,0.523891313862852,97
334801,334801,2,0.910184560897806,0.86854849185133,102
334802,334802,2,0.146847199169922,0.15908362877823,105
334803,334803,2,NA,NA,NA
334804,334804,2,NA,NA,102
334805,334805,2,-0.705114756255265,-0.628504710460863,94
334806,334806,2,NA,NA,90
335001,335001,2,-1.02817461968588,-0.805163797560401,121
335002,335002,2,NA,NA,117
335201,335201,2,NA,NA,NA
335202,335202,2,NA,NA,135
335203,335203,2,NA,NA,116
335501,335501,2,-0.203364450388273,-0.205724056306393,105
335502,335502,2,-0.705114756255265,-0.802683819787775,116
335503,335503,2,-0.203364450388273,-0.222753168768175,116
335801,335801,2,0.587124697467192,0.49798167713349,100
335802,335802,2,-0.0589950293940365,0.0188840227604028,117
336001,336001,2,0.264064834036578,0.342578389371036,82
336002,336002,2,NA,NA,102
336201,336201,2,NA,NA,119
336301,336301,2,-0.0589950293940365,-0.103732944259383,119
336302,336302,2,-0.705114756255265,-0.69220567789529,101
336401,336401,2,-0.203364450388273,-0.223470631413025,94
336402,336402,2,0.587124697467192,0.752207479899074,105
336501,336501,2,-0.553576099946467,-0.577747632417546,114
336502,336502,2,0.910184560897806,0.989967122592301,96
336503,336503,2,1.23324442432842,1.37515599088286,109
336504,336504,2,NA,NA,114
336901,336901,2,1.5476937974027,1.51018751414424,131
336902,336902,2,-1.02817461968588,-1.11104720775676,88
337001,337001,2,NA,NA,102
337002,337002,2,NA,NA,121
337003,337003,2,NA,NA,NA
337101,337101,2,-0.903787749504662,-0.935339426475638,72
337102,337102,2,NA,NA,93
337103,337103,2,NA,NA,NA
337104,337104,2,0.587124697467192,0.49798167713349,82
337105,337105,2,NA,NA,65
337301,337301,2,NA,NA,79
337302,337302,2,NA,NA,103
337701,337701,2,NA,NA,NA
338301,338301,2,NA,NA,NA
338401,338401,2,NA,NA,NA
338601,338601,2,NA,NA,NA
338701,338701,2,0.497058848728117,0.523891313862852,110
338702,338702,2,0.587124697467192,0.504319552660416,114
338703,338703,2,-0.203364450388273,-0.209997252022065,86
339301,339301,2,NA,NA,125
339302,339302,2,NA,NA,120
339701,339701,2,1.23324442432842,1.17108464204893,100
339702,339702,2,0.264064834036578,0.220360867777522,88
339703,339703,2,1.19748214784451,1.21142682622479,118
340201,340201,2,NA,NA,114
340202,340202,2,NA,NA,126
340203,340203,2,NA,NA,107
340701,340701,2,-0.203364450388273,-0.205724056306393,119
340702,340702,2,0.587124697467192,0.576619436937051,121
340801,340801,2,NA,NA,118
340802,340802,2,NA,NA,120
340803,340803,2,NA,NA,84
340804,340804,2,NA,NA,NA
341101,341101,2,NA,NA,117
341102,341102,2,NA,NA,NA
341201,341201,2,1.55630428775903,1.51673611592514,90
341202,341202,2,1.5476937974027,1.51018751414424,97
341301,341301,2,0.587124697467192,0.573494841913946,111
341302,341302,2,-0.382054892824651,-0.495828081422358,105
341601,341601,2,NA,NA,101
341801,341801,2,0.847270498286312,0.910616209567265,119
342101,342101,2,1.8979054469609,1.98312205420134,107
342102,342102,2,0.847270498286312,0.804904017242739,122
342201,342201,2,NA,NA,111
342202,342202,2,NA,NA,122
