"SubjectTag","ExtendedID","Generation","Gender","Mob","HeightInchesLateTeens","WeightPoundsLateTeens","AfqtRescaled2006","AfqtRescaled2006Gaussified","Yob","HeightZGender","HeightZGenderYob","WeightZGender","WeightZGenderYob","BmiLateTeens","Afi","Afm"
212500,2125,1,2,1961-11-15,66,141,0.415080010890961,-0.214496338750576,1961,0.662357925716266,0.700193635903977,0.403430102106413,0.369605154705182,22.7555096418733,16,13
212600,2126,1,2,1960-07-15,62,115,0.729640007019043,0.611724595774283,1960,-0.789739089357928,-0.825375168976576,-0.672507381740609,-0.724831422601554,21.0314776274714,19,13
212700,2126,1,1,1961-09-15,70,165,0.19922000169754,-0.844410595884655,1961,0.0174980875979365,-0.00409910489295508,0.0423487321082175,0.0402443433133241,23.6724489795918,16,NA
212800,2126,1,2,1963-04-15,63,110,0.156100004911423,-1.01061651184822,1963,-0.42671483558938,-0.404774546689832,-0.879418436326575,-0.829301080272127,19.4834971025447,16,14
212900,2129,1,2,1960-12-15,65,162,0.373050004243851,-0.323786062885098,1960,0.299333671947717,0.272143096217036,1.27245653136747,1.0908968639538,26.9552662721893,20,13
213000,2130,1,2,1961-06-15,63,105,0.491919994354248,-0.0202549555028124,1961,-0.42671483558938,-0.413637521566053,-1.08632949091254,-1.08019667518985,18.5978835978836,16,12
213100,2131,1,2,1957-09-15,70,123,0.111929997801781,-1.21632800984117,1957,2.11445494079046,2.1733176275944,-0.341449694403064,-0.466619427845678,17.6467346938776,18,17
213200,2132,1,2,1963-08-15,65,132,0.559930026531219,0.150791810160156,1963,0.299333671947717,0.290753547622277,0.0309902038516745,0.169337629794242,21.963550295858,19,13
213300,2133,1,2,1961-10-15,67,138,0.484880000352859,-0.0379092966726387,1961,1.02538217948481,1.07147068839399,0.279283469354833,0.248788335547263,21.6114947649811,21,13
213400,2133,1,2,1962-11-15,67,135,0.095660001039505,-1.30668415535962,1962,1.02538217948481,1.11227975648668,0.155136836603254,0.257126599268945,21.1416796613945,15,13
213500,2135,1,1,1962-09-15,74,197,0.182119995355606,-0.907315479437521,1962,1.30556943283763,1.33175221453552,1.2338766317727,1.3564184228659,25.2905405405405,17,NA
