"SubjectTag","SubjectID","Generation","HeightZGenderAge","WeightZGenderAge","MathStandardized"
875601,875601,2,NA,NA,NA
875602,875602,2,NA,NA,NA
875701,875701,2,NA,NA,112
875702,875702,2,NA,NA,74
875703,875703,2,NA,NA,NA
875704,875704,2,NA,NA,NA
875901,875901,2,-0.07301518,-0.07301518,105
875902,875902,2,-0.5756847,-0.5756847,103
876201,876201,2,NA,NA,71.5
876202,876202,2,NA,NA,71.5
876203,876203,2,NA,NA,89.5
876301,876301,2,NA,NA,117
876302,876302,2,NA,NA,NA
876303,876303,2,NA,NA,NA
876601,876601,2,NA,NA,95
877001,877001,2,NA,NA,97.5
877002,877002,2,NA,NA,90
877201,877201,2,NA,NA,89
877202,877202,2,NA,NA,77
877701,877701,2,NA,NA,91
877702,877702,2,NA,NA,112
877901,877901,2,NA,NA,111
877902,877902,2,NA,NA,122
877903,877903,2,NA,NA,109
877904,877904,2,NA,NA,NA
878201,878201,2,NA,NA,123
878202,878202,2,NA,NA,105
878301,878301,2,NA,NA,NA
878302,878302,2,NA,NA,NA
878701,878701,2,0.5238913,0.5238913,74
878702,878702,2,-0.5705317,-0.5705317,88
878703,878703,2,-0.5756847,-0.5756847,87.5
878801,878801,2,NA,NA,98
878802,878802,2,NA,NA,NA
878803,878803,2,NA,NA,NA
879401,879401,2,1.83785,1.83785,102.5
879402,879402,2,1.618314,1.618314,95
879403,879403,2,-0.159374,-0.159374,125
879404,879404,2,0.1904604,0.1904604,110.5
879501,879501,2,NA,NA,83
879502,879502,2,NA,NA,91
879701,879701,2,NA,NA,NA
879801,879801,2,NA,NA,97
879802,879802,2,NA,NA,99
879901,879901,2,NA,NA,NA
879902,879902,2,NA,NA,NA
880001,880001,2,NA,NA,103.5
880002,880002,2,NA,NA,106.5
880101,880101,2,NA,NA,89.5
880102,880102,2,NA,NA,93
880103,880103,2,NA,NA,109
880201,880201,2,NA,NA,110
880202,880202,2,NA,NA,NA
880203,880203,2,NA,NA,NA
881501,881501,2,NA,NA,103
881502,881502,2,NA,NA,NA
881601,881601,2,NA,NA,116
881602,881602,2,NA,NA,107
881801,881801,2,0.5238913,0.5238913,87.5
881802,881802,2,-0.8292106,-0.8292106,74
882101,882101,2,NA,NA,NA
882102,882102,2,NA,NA,NA
882501,882501,2,NA,NA,NA
882502,882502,2,NA,NA,NA
882601,882601,2,NA,NA,NA
882602,882602,2,NA,NA,NA
882801,882801,2,NA,NA,112
882802,882802,2,NA,NA,NA
882803,882803,2,NA,NA,NA
882804,882804,2,NA,NA,NA
883001,883001,2,NA,NA,NA
883002,883002,2,NA,NA,NA
883003,883003,2,NA,NA,NA
883301,883301,2,NA,NA,NA
883302,883302,2,NA,NA,NA
883901,883901,2,NA,NA,105.5
884001,884001,2,-2.446881,-2.446881,94.5
884002,884002,2,-0.9353394,-0.9353394,99
884003,884003,2,0.804904,0.804904,114
884501,884501,2,NA,NA,97
884502,884502,2,NA,NA,NA
884503,884503,2,NA,NA,NA
884701,884701,2,NA,NA,109
884702,884702,2,NA,NA,103.5
884703,884703,2,NA,NA,NA
884801,884801,2,NA,NA,NA
884802,884802,2,NA,NA,NA
884803,884803,2,NA,NA,NA
884901,884901,2,NA,NA,NA
885301,885301,2,-0.8167297,-0.8167297,105
885302,885302,2,0.1904604,0.1904604,86
885401,885401,2,-0.1822153,-0.1822153,103
885402,885402,2,0.1491686,0.1491686,81
885403,885403,2,NA,NA,NA
885801,885801,2,-2.659055,-2.659055,108
885802,885802,2,-1.635078,-1.635078,72
886101,886101,2,-1.366035,-1.366035,100
886102,886102,2,NA,NA,99.5
886401,886401,2,0.4765879,0.4765879,122
886402,886402,2,-0.07301518,-0.07301518,105
886701,886701,2,1.618314,1.618314,90.5
886702,886702,2,-0.8292106,-0.8292106,97
886703,886703,2,-0.3962702,-0.3962702,95
886901,886901,2,NA,NA,109
886902,886902,2,-1.131523,-1.131523,103
886903,886903,2,NA,NA,89
886904,886904,2,-1.164993,-1.164993,84
887001,887001,2,-1.955177,-1.955177,125
887002,887002,2,-1.366035,-1.366035,99
887003,887003,2,-0.3962702,-0.3962702,111.5
887301,887301,2,NA,NA,NA
887801,887801,2,NA,NA,112
887802,887802,2,NA,NA,103
888301,888301,2,-1.460363,-1.460363,100
888302,888302,2,-0.4958281,-0.4958281,108.5
888501,888501,2,NA,NA,109
888502,888502,2,NA,NA,NA
888801,888801,2,0.1482718,0.1482718,95
888802,888802,2,0.8393604,0.8393604,80.5
888901,888901,2,0.5126741,0.5126741,90
888902,888902,2,0.5238913,0.5238913,102.5
888903,888903,2,0.4998007,0.4998007,95
889001,889001,2,-0.3962702,-0.3962702,96
889002,889002,2,2.190697,2.190697,96
889501,889501,2,-0.4278268,-0.4278268,87
889502,889502,2,NA,NA,NA
889601,889601,2,-0.2057241,-0.2057241,97
889602,889602,2,-0.5676385,-0.5676385,91
889901,889901,2,-0.9393764,-0.9393764,78
890001,890001,2,0.1516985,0.1516985,110
890002,890002,2,-0.5676385,-0.5676385,110
890003,890003,2,0.129259,0.129259,119
890004,890004,2,NA,NA,116
890005,890005,2,NA,NA,106
890201,890201,2,NA,NA,NA
890202,890202,2,NA,NA,NA
890203,890203,2,NA,NA,NA
890401,890401,2,-0.8366765,-0.8366765,104.5
890402,890402,2,0.4850834,0.4850834,101.5
890403,890403,2,NA,NA,94.5
890901,890901,2,1.83785,1.83785,116
890902,890902,2,1.970157,1.970157,102
891001,891001,2,-1.66676,-1.66676,98
891002,891002,2,0.1320117,0.1320117,95
891003,891003,2,NA,NA,85
891201,891201,2,-0.9353394,-0.9353394,85
