"SubjectTag_S1","SubjectTag_S2","ExtendedID","RelationshipPath","EverSharedHouse","R","RFull","IsMz","LastSurvey_S1","LastSurvey_S2","RImplicitPass1","RImplicit","RImplicit2004","RExplicit","RExplicitPass1","RPass1","RExplicitOlderSibVersion","RExplicitYoungerSibVersion","Generation_S1","Generation_S2","SubjectID_S1","SubjectID_S2","MathStandardized_S1","HeightZGenderAge_S1","MathStandardized_S2","HeightZGenderAge_S2"
15901,15902,157,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,15901,15902,109,-0.829210626116616,107,-0.473844341084092
15901,15903,157,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,1998,0.5,0.5,0.5,0.5,0.5,0.5,0.5,NA,2,2,15901,15903,109,-0.829210626116616,NA,NA
15901,15904,157,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,1998,0.5,0.5,0.5,0.5,0.5,0.5,0.5,NA,2,2,15901,15904,109,-0.829210626116616,NA,NA
15901,15905,157,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,1998,0.5,0.5,0.5,0.5,0.5,0.5,0.5,NA,2,2,15901,15905,109,-0.829210626116616,NA,NA
15902,15903,157,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,1998,0.5,0.5,0.5,0.5,0.5,0.5,0.5,NA,2,2,15902,15903,107,-0.473844341084092,NA,NA
15902,15904,157,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,1998,0.5,0.5,0.5,0.5,0.5,0.5,0.5,NA,2,2,15902,15904,107,-0.473844341084092,NA,NA
15902,15905,157,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,1998,0.5,0.5,0.5,0.5,0.5,0.5,0.5,NA,2,2,15902,15905,107,-0.473844341084092,NA,NA
15903,15904,157,"Gen2Siblings",TRUE,0.5,0.5,"No",1998,1998,0.5,0.5,0.5,0.5,NA,0.5,NA,NA,2,2,15903,15904,NA,NA,NA,NA
15903,15905,157,"Gen2Siblings",TRUE,0.5,0.5,"No",1998,1998,0.5,0.5,0.5,0.5,NA,0.5,NA,NA,2,2,15903,15905,NA,NA,NA,NA
15904,15905,157,"Gen2Siblings",TRUE,0.5,0.5,"No",1998,1998,0.5,0.5,0.5,0.5,NA,0.5,NA,NA,2,2,15904,15905,NA,NA,NA,NA
16101,16102,160,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2008,0.5,0.5,0.5,0.5,0.5,0.5,0.5,NA,2,2,16101,16102,125,NA,120.5,NA
16501,16502,165,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,16501,16502,102,1.51018751414424,116,0.474020642707521
16501,16503,165,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2008,0.5,0.5,0.5,0.5,0.5,0.5,0.5,NA,2,2,16501,16503,102,1.51018751414424,100,NA
16502,16503,165,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2008,0.5,0.5,0.5,0.5,0.5,0.5,0.5,NA,2,2,16502,16503,116,0.474020642707521,100,NA
16701,16702,167,"Gen2Siblings",TRUE,0.5,0.5,"No",2004,2004,0.5,0.5,0.5,NA,NA,0.5,NA,NA,2,2,16701,16702,113,1.51799490766511,110,-0.169617541797851
17401,17402,174,"Gen2Siblings",TRUE,0.5,0.5,"No",2010,2010,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,17401,17402,111,-0.829210626116616,106,0.255023144487738
