"ExtendedID","Subject1Tag","Subject2Tag","R","RelationshipPath"
1158,115800,115900,0.5,"Gen1Housemates"
1158,115800,116000,0.5,"Gen1Housemates"
1158,115900,116000,0.5,"Gen1Housemates"
1169,116900,117000,0.5,"Gen1Housemates"
1169,116900,117100,0.5,"Gen1Housemates"
1169,117000,117100,0.5,"Gen1Housemates"
1172,117200,117300,0.5,"Gen1Housemates"
1177,117700,117800,0.5,"Gen1Housemates"
1177,117700,117900,0.5,"Gen1Housemates"
1177,117800,117900,1,"Gen1Housemates"
1182,118200,118300,0.5,"Gen1Housemates"
1184,118400,118500,0.5,"Gen1Housemates"
1184,118400,118600,0.5,"Gen1Housemates"
1184,118500,118600,0.5,"Gen1Housemates"
1187,118700,118800,0.5,"Gen1Housemates"
1189,118900,119000,0.5,"Gen1Housemates"
1189,118900,119100,0.5,"Gen1Housemates"
1189,119000,119100,0.5,"Gen1Housemates"
1189,118900,119200,0.5,"Gen1Housemates"
1189,119000,119200,0.5,"Gen1Housemates"
1189,119100,119200,0.5,"Gen1Housemates"
1189,119200,119300,0.5,"Gen1Housemates"
1189,118900,119300,0.5,"Gen1Housemates"
1189,119000,119300,0.5,"Gen1Housemates"
1189,119100,119300,0.5,"Gen1Housemates"
1197,119700,119800,0.375,"Gen1Housemates"
1201,120100,120200,0.5,"Gen1Housemates"
1201,120100,120300,0.5,"Gen1Housemates"
1201,120200,120300,0.5,"Gen1Housemates"
1204,120400,120500,0.5,"Gen1Housemates"
1207,120700,120800,0.5,"Gen1Housemates"
1210,121000,121100,0.5,"Gen1Housemates"
1213,121300,121400,0.25,"Gen1Housemates"
1213,121300,121500,0.375,"Gen1Housemates"
1213,121400,121500,0.5,"Gen1Housemates"
