CID,MID,CRace,CGender,height,ageht,yearht,weight,agewt,yearwt,age_ht,age_wt,htst,wtst
1071201,10712,2,1,,,,,,,,,,
1071202,10712,2,1,,,,,,,,,,
1071203,10712,2,1,,,,,,,,,,
1072002,10720,3,1,,,,,,,,,,
1074101,10741,1,1,,,,,,,,,,
1074401,10744,3,1,,,,,,,,,,
1074402,10744,3,1,,,,,,,,,,
1079201,10792,3,1,,,,,,,,,,
1079402,10794,2,1,,,,,,,,,,
1080202,10802,3,1,,,,,,,,,,
1080601,10806,3,1,,,,,,,,,,
1080801,10808,3,1,,,,,,,,,,
1080802,10808,3,1,,,,,,,,,,
1080901,10809,2,1,,,,,,,,,,
1082801,10828,3,1,,,,,,,,,,
1083501,10835,3,1,,,,,,,,,,
1083502,10835,3,1,,,,,,,,,,
1086501,10865,1,1,,,,,,,,,,
1086801,10868,3,1,,,,,,,,,,
1087101,10871,3,1,,,,,,,,,,
1087102,10871,3,1,,,,,,,,,,
1087201,10872,2,1,,,,,,,,,,
1087801,10878,3,1,,,,,,,,,,
1089801,10898,2,1,,,,,,,,,,
1090001,10900,3,1,,,,,,,,,,
1090002,10900,3,1,,,,,,,,,,
1090003,10900,3,1,,,,,,,,,,
1090401,10904,3,1,,,,,,,,,,
1094401,10944,3,1,,,,,,,,,,
1095201,10952,3,1,,,,,,,,,,
1096001,10960,3,1,,,,,,,,,,
1096002,10960,3,1,,,,,,,,,,
1096401,10964,3,1,,,,,,,,,,
1097401,10974,2,1,,,,,,,,,,
1097402,10974,2,1,,,,,,,,,,
1098701,10987,3,1,,,,,,,,,,
1102901,11029,3,1,,,,,,,,,,
1103101,11031,3,1,,,,,,,,,,
1103301,11033,3,1,,,,,,,,,,
1110001,11100,2,1,,,,,,,,,,
1110402,11104,2,1,,,,,,,,,,
1110701,11107,2,1,,,,,,,,,,
1110802,11108,3,1,,,,,,,,,,
1113001,11130,2,1,,,,,,,,,,
1113002,11130,2,1,,,,,,,,,,
1113301,11133,3,1,,,,,,,,,,
1113601,11136,2,1,,,,,,,,,,
1114701,11147,3,1,,,,,,,,,,
1114702,11147,3,1,,,,,,,,,,
1115001,11150,3,1,,,,,,,,,,
1115501,11155,2,1,,,,,,,,,,
1116001,11160,3,1,,,,,,,,,,
1116003,11160,3,1,,,,,,,,,,
1116101,11161,2,1,,,,,,,,,,
1116901,11169,3,1,,,,,,,,,,
1117101,11171,3,1,,,,,,,,,,
1117102,11171,3,1,,,,,,,,,,
1117201,11172,3,1,,,,,,,,,,
1117401,11174,3,1,,,,,,,,,,
1117501,11175,3,1,,,,,,,,,,
1117502,11175,3,1,,,,,,,,,,
1118403,11184,2,1,,,,,,,,,,
1119102,11191,3,1,,,,,,,,,,
1120402,11204,3,1,,,,,,,,,,
1121101,11211,2,1,,,,,,,,,,
1121103,11211,2,1,,,,,,,,,,
1121402,11214,3,1,,,,,,,,,,
