"","Subject2Tag","Subject1Tag","R","MultipleBirth","Race_1","Gender_1","HtSt19to25_1","AgeHt_1","Bmi_1","Afi_1","Afm_1","Afd_1","MathStd_1","ReadRecStd_1","Race_2","Gender_2","HtSt19to25_2","AgeHt_2","Bmi_2","Afi_2","Afm_2","Afd_2","MathStd_2","ReadRecStd_2"
"9253",952302,952301,0.25,0,2,1,1.19573312,28,22.46621622,12,NA,15,111,92,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"9254",952303,952301,0.25,0,2,1,1.19573312,28,22.46621622,12,NA,15,111,92,2,1,0.869004566,24,26.38393695,14,NA,13,96,90
"9255",952303,952302,0.5,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,1,0.869004566,24,26.38393695,14,NA,13,96,90
"9256",952304,952302,0.5,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0.858253252,20,27.40588104,15,10,15,115,90
"9257",952304,952301,0.25,0,2,1,1.19573312,28,22.46621622,12,NA,15,111,92,2,2,0.858253252,20,27.40588104,15,10,15,115,90
"9258",952304,952303,0.5,0,2,1,0.869004566,24,26.38393695,14,NA,13,96,90,2,2,0.858253252,20,27.40588104,15,10,15,115,90
"9259",952305,952302,0.5,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,17,22.2377551,14,NA,13,109,101
"9260",952305,952303,0.5,0,2,1,0.869004566,24,26.38393695,14,NA,13,96,90,2,1,NA,17,22.2377551,14,NA,13,109,101
"9261",952305,952301,0.25,0,2,1,1.19573312,28,22.46621622,12,NA,15,111,92,2,1,NA,17,22.2377551,14,NA,13,109,101
"9262",952305,952304,0.5,0,2,2,0.858253252,20,27.40588104,15,10,15,115,90,2,1,NA,17,22.2377551,14,NA,13,109,101
"9263",952306,952305,0.5,0,2,1,NA,17,22.2377551,14,NA,13,109,101,2,1,NA,15,24.11717532,NA,NA,NA,95,81
"9264",952306,952302,0.5,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,15,24.11717532,NA,NA,NA,95,81
"9265",952306,952301,0.25,0,2,1,1.19573312,28,22.46621622,12,NA,15,111,92,2,1,NA,15,24.11717532,NA,NA,NA,95,81
"9266",952306,952303,0.5,0,2,1,0.869004566,24,26.38393695,14,NA,13,96,90,2,1,NA,15,24.11717532,NA,NA,NA,95,81
"9267",952306,952304,0.5,0,2,2,0.858253252,20,27.40588104,15,10,15,115,90,2,1,NA,15,24.11717532,NA,NA,NA,95,81
"9268",952307,952302,0.5,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,116,90
"9269",952307,952303,0.5,0,2,1,0.869004566,24,26.38393695,14,NA,13,96,90,2,2,NA,NA,NA,NA,NA,NA,116,90
"9270",952307,952304,0.5,0,2,2,0.858253252,20,27.40588104,15,10,15,115,90,2,2,NA,NA,NA,NA,NA,NA,116,90
"9271",952307,952301,0.25,0,2,1,1.19573312,28,22.46621622,12,NA,15,111,92,2,2,NA,NA,NA,NA,NA,NA,116,90
"9272",952307,952305,0.5,0,2,1,NA,17,22.2377551,14,NA,13,109,101,2,2,NA,NA,NA,NA,NA,NA,116,90
"9273",952307,952306,0.5,0,2,1,NA,15,24.11717532,NA,NA,NA,95,81,2,2,NA,NA,NA,NA,NA,NA,116,90
"9274",952902,952901,0.5,0,1,2,0.162869162,29,40.60596513,NA,13,12,65,86,1,1,1.19573312,29,34.99377778,17,NA,17,102,135
"9275",952903,952901,0.5,0,1,2,0.162869162,29,40.60596513,NA,13,12,65,86,1,1,0.215547459,23,34.86411426,15,NA,13,89,103
"9276",952903,952902,0.5,0,1,1,1.19573312,29,34.99377778,17,NA,17,102,135,1,1,0.215547459,23,34.86411426,15,NA,13,89,103
"9277",952904,952901,0.5,0,1,2,0.162869162,29,40.60596513,NA,13,12,65,86,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"9278",952904,952902,0.5,0,1,1,1.19573312,29,34.99377778,17,NA,17,102,135,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"9279",952904,952903,0.5,0,1,1,0.215547459,23,34.86411426,15,NA,13,89,103,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"9280",953002,953001,0.5,0,1,2,-0.880206972,24,27.43236212,NA,13,14,92,103,1,1,NA,18,24.20798898,NA,NA,13,79,105
"9281",953202,953201,0.5,0,1,1,-1.418095311,25,28.24265381,18,NA,13,98,113,1,2,-1.227899017,23,27.3945176,NA,12,15,90,100
"9282",953203,953201,0.5,0,1,1,-1.418095311,25,28.24265381,18,NA,13,98,113,1,1,NA,7,NA,NA,NA,NA,NA,NA
"9283",953203,953202,0.5,0,1,2,-1.227899017,23,27.3945176,NA,12,15,90,100,1,1,NA,7,NA,NA,NA,NA,NA,NA
"9284",953602,953601,1,2,2,1,-1.091366757,22,21.92470483,19,NA,13,104,94,2,1,-1.744823865,23,25.79053254,13,NA,16,99,90
"9285",953702,953701,0.25,0,1,1,0.542276012,27,31.59702932,NA,NA,16,97,79,1,2,0.858253252,25,25.05680553,16,9,17,106,75
"9286",953703,953701,0.25,0,1,1,0.542276012,27,31.59702932,NA,NA,16,97,79,1,1,0.869004566,24,25.0647401,15,NA,14,86,69
