"","Subject2Tag","Subject1Tag","R","MultipleBirth","Race_1","Gender_1","HtSt19to25_1","AgeHt_1","Bmi_1","Afi_1","Afm_1","Afd_1","MathStd_1","ReadRecStd_1","Race_2","Gender_2","HtSt19to25_2","AgeHt_2","Bmi_2","Afi_2","Afm_2","Afd_2","MathStd_2","ReadRecStd_2"
"1384",154904,154902,0.5,0,3,2,0.162869162,24,23.29467456,17,12,12,97,103,3,1,0.542276012,19,19.66338735,17,NA,10,93,80
"1385",154904,154903,0.5,0,3,1,0.869004566,21,19.78795271,18,NA,18,108,65,3,1,0.542276012,19,19.66338735,17,NA,10,93,80
"1386",155102,155101,0.5,0,3,1,1.522461674,28,17.97297297,17,NA,13,109,119,3,2,0.510561207,26,29.53374656,15,13,14,91,92
"1387",155902,155901,0.25,0,3,1,-1.091366757,23,25.05680553,15,NA,15,104,121,3,2,-1.923283107,29,29.29166667,13,11,13,81,79
"1388",156402,156401,0.5,0,3,2,NA,NA,NA,NA,NA,NA,125,135,3,2,NA,NA,NA,NA,NA,NA,131,135
"1389",156602,156601,0.5,0,3,2,0.162869162,28,29.85651974,15,13,13,113,103,3,1,1.19573312,26,29.01351351,16,NA,10,111,105
"1390",156603,156601,0.5,0,3,2,0.162869162,28,29.85651974,15,13,13,113,103,3,1,-0.111181095,25,24.38979592,13,NA,12,103,88
"1391",156603,156602,0.5,0,3,1,1.19573312,26,29.01351351,16,NA,10,111,105,3,1,-0.111181095,25,24.38979592,13,NA,12,103,88
"1392",156604,156601,0.5,0,3,2,0.162869162,28,29.85651974,15,13,13,113,103,3,2,0.162869162,22,25.79053254,12,10,12,120,118
"1393",156604,156603,0.5,0,3,1,-0.111181095,25,24.38979592,13,NA,12,103,88,3,2,0.162869162,22,25.79053254,12,10,12,120,118
"1394",156604,156602,0.5,0,3,1,1.19573312,26,29.01351351,16,NA,10,111,105,3,2,0.162869162,22,25.79053254,12,10,12,120,118
"1395",156605,156602,0.5,0,3,1,1.19573312,26,29.01351351,16,NA,10,111,105,3,2,-0.184822883,20,37.75878906,13,10,13,110,119
"1396",156605,156601,0.5,0,3,2,0.162869162,28,29.85651974,15,13,13,113,103,3,2,-0.184822883,20,37.75878906,13,10,13,110,119
"1397",156605,156603,0.25,0,3,1,-0.111181095,25,24.38979592,13,NA,12,103,88,3,2,-0.184822883,20,37.75878906,13,10,13,110,119
"1398",156605,156604,0.25,0,3,2,0.162869162,22,25.79053254,12,10,12,120,118,3,2,-0.184822883,20,37.75878906,13,10,13,110,119
"1399",157102,157101,0.5,0,3,1,1.19573312,25,24.39189189,14,NA,13,110,107,3,2,0.510561207,19,20.98025712,16,13,12,89,93
